,anio_mes_concatenado,yhat
0,2018_01,26807.52855060448
1,2018_02,26878.260335319203
2,2018_03,26966.18445487097
3,2018_04,26951.434598088108
4,2018_05,27040.704988908146
5,2018_06,27137.186081645614
6,2018_07,27194.87164725589
7,2018_08,27226.69327027362
8,2018_09,27330.47702791847
9,2018_10,27395.203086332698
10,2018_11,27472.411667177625
11,2018_12,27567.845436830914
12,2019_01,27558.396796267774
13,2019_02,27535.244056805524
14,2019_03,27586.850126885663
15,2019_04,27575.921713902713
16,2019_05,27718.90317097072
17,2019_06,27861.702275113206
18,2019_07,27931.476874980603
19,2019_08,27954.147526749693
20,2019_09,28036.818711428128
21,2019_10,28044.143479597522
22,2019_11,28148.999592826236
23,2019_12,28269.7723580168
24,2020_01,28323.87802836928
25,2020_02,28393.209437044872
26,2020_03,28551.867953412228
27,2020_04,28622.98449843297
28,2020_05,28729.461075951847
29,2020_06,28713.424832309665
30,2020_07,28677.267166008587
31,2020_08,28657.126727631763
32,2020_09,28701.576025053797
33,2020_10,28762.84515246594
34,2020_11,28942.630883764803
35,2020_12,29052.664926994235
36,2021_01,29097.637030511934
37,2021_02,29200.353491324076
38,2021_03,29357.504914091485
39,2021_04,29424.639530308694
40,2021_05,29580.585812906284
41,2021_06,29649.19625025808
42,2021_07,29745.558609973068
43,2021_08,29827.640595337652
44,2021_09,30018.416712618433
45,2021_10,30242.17291738782
46,2021_11,30562.856730227577
47,2021_12,30870.57864859594
48,2022_01,31130.8350180568
49,2022_02,31362.62787382594
50,2022_03,31624.945375823805
51,2022_04,31962.83327483718
52,2022_05,32452.778990075294
53,2022_06,32877.39498997732
54,2022_07,33265.423449493625
55,2022_08,33626.68186362318
56,2022_09,34052.40170442108
57,2022_10,34456.68816947363
58,2022_11,34730.358224891796
59,2022_12,34978.62909248378
60,2023_01,35182.73872305049
61,2023_02,35372.27711928194
62,2023_03,35584.3428493324
63,2023_04,35708.04200543546
64,2023_05,35929.35753959072
65,2023_06,36046.18105538797
66,2023_07,36088.36165633244
67,2023_08,36094.74627654931
68,2023_09,36166.63167845421
69,2023_10,36250.292942573935
70,2023_11,36465.88948242709
71,2023_12,36714.428597405866
72,2024_01,36918.664562332735
73,2024_02,37112.30055697325
74,2024_03,37324.868043504226
75,2024_04,37451.00080790737
76,2024_05,37670.97173292239
77,2024_06,37785.85344602036
78,2024_07,37825.72623899397
79,2024_08,37833.933233176824
80,2024_09,37905.66916129276
81,2024_10,37991.80390163634
82,2024_11,38209.732984172966
83,2024_12,38454.05301339623
